INFO  - 2016-06-22 11:19:11.204; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-06-22 11:19:11.248; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/soncojmk/mysite/solr-4.10.2/example/contexts at interval 0
INFO  - 2016-06-22 11:19:11.262; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/soncojmk/mysite/solr-4.10.2/example/contexts/solr-jetty-context.xml
INFO  - 2016-06-22 11:19:11.312; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/home/soncojmk/mysite/solr-4.10.2/example/webapps/solr.war!/ to /home/soncojmk/mysite/solr-4.10.2/example/solr-webapp/webapp
INFO  - 2016-06-22 11:19:12.394; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-06-22 11:19:12.501; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-06-22 11:19:12.539; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-06-22 11:19:12.540; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-06-22 11:19:12.541; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-06-22 11:19:12.705; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/soncojmk/mysite/solr-4.10.2/example/solr/solr.xml
INFO  - 2016-06-22 11:19:12.943; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/soncojmk/mysite/solr-4.10.2/example/solr
INFO  - 2016-06-22 11:19:12.971; org.apache.solr.core.CoreContainer; New CoreContainer 1432536094
INFO  - 2016-06-22 11:19:12.971; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2016-06-22 11:19:12.989; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-06-22 11:19:12.990; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-06-22 11:19:12.993; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-06-22 11:19:12.995; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-06-22 11:19:12.995; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-06-22 11:19:12.995; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-06-22 11:19:12.996; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-06-22 11:19:12.996; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-06-22 11:19:12.996; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-06-22 11:19:13.380; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2016-06-22 11:19:13.381; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2016-06-22 11:19:13.382; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2016-06-22 11:19:13.383; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2016-06-22 11:19:13.449; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/soncojmk/mysite/solr-4.10.2/example/solr
INFO  - 2016-06-22 11:19:13.465; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/
INFO  - 2016-06-22 11:19:13.465; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2016-06-22 11:19:13.477; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/'
INFO  - 2016-06-22 11:19:13.535; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2016-06-22 11:19:13.537; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2016-06-22 11:19:13.537; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2016-06-22 11:19:13.538; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2016-06-22 11:19:13.538; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.538; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2016-06-22 11:19:13.538; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.538; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.539; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.539; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2016-06-22 11:19:13.539; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.539; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2016-06-22 11:19:13.539; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2016-06-22 11:19:13.539; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2016-06-22 11:19:13.539; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.540; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2016-06-22 11:19:13.540; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2016-06-22 11:19:13.540; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.540; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2016-06-22 11:19:13.540; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.540; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2016-06-22 11:19:13.541; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2016-06-22 11:19:13.541; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/xmpcore-5.1.2.jar' to classloader
INFO  - 2016-06-22 11:19:13.541; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2016-06-22 11:19:13.541; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2016-06-22 11:19:13.541; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2016-06-22 11:19:13.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2016-06-22 11:19:13.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2016-06-22 11:19:13.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.542; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2016-06-22 11:19:13.543; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2016-06-22 11:19:13.543; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2016-06-22 11:19:13.543; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/dist/solr-cell-4.10.2.jar' to classloader
INFO  - 2016-06-22 11:19:13.544; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2016-06-22 11:19:13.544; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2016-06-22 11:19:13.544; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2016-06-22 11:19:13.544; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.545; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2016-06-22 11:19:13.545; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2016-06-22 11:19:13.545; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2016-06-22 11:19:13.545; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2016-06-22 11:19:13.545; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/dist/solr-clustering-4.10.2.jar' to classloader
INFO  - 2016-06-22 11:19:13.546; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2016-06-22 11:19:13.546; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2016-06-22 11:19:13.546; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/dist/solr-langid-4.10.2.jar' to classloader
INFO  - 2016-06-22 11:19:13.547; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2016-06-22 11:19:13.547; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2016-06-22 11:19:13.547; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2016-06-22 11:19:13.547; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2016-06-22 11:19:13.547; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/soncojmk/mysite/solr-4.10.2/dist/solr-velocity-4.10.2.jar' to classloader
INFO  - 2016-06-22 11:19:13.605; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2016-06-22 11:19:13.613; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.2
INFO  - 2016-06-22 11:19:13.747; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2016-06-22 11:19:13.751; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/conf/schema.xml
INFO  - 2016-06-22 11:19:13.795; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2016-06-22 11:19:14.134; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2016-06-22 11:19:14.143; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2016-06-22 11:19:14.143; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2016-06-22 11:19:14.218; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-06-22 11:19:14.222; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-06-22 11:19:14.340; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/
INFO  - 2016-06-22 11:19:14.356; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2016-06-22 11:19:14.360; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/, dataDir=/home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/data/
INFO  - 2016-06-22 11:19:14.370; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-06-22 11:19:14.374; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-06-22 11:19:14.374; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-06-22 11:19:14.388; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/data
INFO  - 2016-06-22 11:19:14.419; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/soncojmk/mysite/solr-4.10.2/example/solr/collection1/data/index/
